,Datetime,Tweet_id,Content
0,2020-07-25 17:00:04+00:00,1287070124520939520,"If you are sick with , a public health worker will contact you to check on your health, discuss who you’ve been in contact with, and ask you to stay at home and self-isolate, if you’re not doing so already. Answer the call to .   "
1,2020-06-11 20:30:08+00:00,1271177921051463680,"If you are sick with , someone from the Arkansas Department of Health might contact you to check on your health, discuss who you’ve been in contact with and ask you to stay at home to self-isolate. Answer the call to slow the spread. Learn more:  "
2,2020-06-08 21:43:59+00:00,1270109343409598464,We can work together to help slow the spread of . You can do your part by answering questions from public health officials and self-quarantining if ill or exposed. Learn more about contact tracing:  
3,2020-03-30 16:26:31+00:00,1244662298448408578,"If you have been exposed to COVID-19, you may be asked to self-quarantine at home. You can find our guidance for self-quarantine here: 

 "
4,2020-03-26 15:59:50+00:00,1243206032723267584,"For more, including information about how to self home quarantine, go to:  

"
5,2020-03-26 15:59:50+00:00,1243206031913758721,"Due to high rates of COVID-19 in New York and international locations, the ADH is now recommending self home quarantine for 14 days for all travelers from New York State and all international locations."
6,2020-03-25 20:31:41+00:00,1242912056342458377,"If you have developed a fever, cough or shortness of breath or believe you have been exposed to COVID-19, you should self-isolate at home and contact your healthcare provider."
7,2020-07-08 20:33:02+00:00,1280963123479031810,"AHRQ report: Medicaid paid the largest share all payers for hospital emergency dept visits for suicidal ideation, attempt or self-harm; bipolar and alcohol-related disorders in 2017.  "
8,2020-07-07 16:49:05+00:00,1280544378633715713,"AHRQ analysis: Medicaid covered largest share of all payers for hospital emergency dept visits in 2017 for patients with suicidal ideation, attempt or self-harm; bipolar and related disorders; and alcohol-related disorders.  Learn more:
 "
9,2020-04-21 17:16:44+00:00,1252647470326300673,"U.S. health regulators have OK'd the first coronavirus test that allows people to self-swab at home.

"
10,2020-04-23 18:18:31+00:00,1253387795160276993,: The Secretary of the  published a directive that allows  to receive help for self-identified alcohol problems before they result in mandatory substance abuse treatment?  Learn about programs at.  
11,2020-04-07 14:02:41+00:00,1247525206811275264," symptoms may appear 2-14 days after exposure and may include fever, cough and shortness of breath. For peace of mind before you call, visit /’s  Self-Checker: "
12,2020-04-01 19:01:44+00:00,1245426136747847690, symptoms may range from mild to severe. Think you may have been exposed? Check out /’s new  Self-Checker: 
13,2020-03-28 19:01:02+00:00,1243976408982073344,Not sure if you should seek medical care? The /’s new  Self-Checker is a guide to help you make decisions and seek appropriate medical care: 
14,2020-03-25 17:00:34+00:00,1242858927689269248, symptoms may range from mild to severe. Think you may have been exposed? Check out /’s new  Self-Checker: 
15,2020-06-28 15:06:53+00:00,1277257165858889732,"Don’t wait for your  test results before isolating! ☝️ If you have symptoms or think you were in contact w/ someone who tested positive, self-isolate right away to help prevent the disease from spreading to people in your home + community.

📌
(1/2) "
16,2020-06-27 14:00:07+00:00,1276877975468810245,"Today is National !❤️

Share what knowing your HIV status means to you. Your words can empower others to get tested for HIV, know their status, and prevention + treatment options.

Learn about self-testing options: 
   "
17,2020-06-07 15:52:21+00:00,1269658463719874560,"We’ve been spreading the word about free  testing + mailed out flyers to households in at-risk communities. 📩

Go to  to take a self-assessment for a test. Testing is now open to people who have been to large gatherings without social distancing. "
18,2020-05-23 16:00:40+00:00,1264224739272335361,"Take a free  self-assessment to see if you’re eligible for a test. 👉  

Completion of the form does not guarantee referral to a testing site. When people arrive for testing, they will be required to show email confirmation or government-issued ID. "
19,2020-05-22 20:24:53+00:00,1263928842055569409," Self-screening one way to check in with your body, but if you are an asymptomatic carrier of COVID-19, you won't show symptoms. If you think you were exposed to someone who has it or may be showing symptoms, fill out our online testing assessment: "
20,2020-05-20 16:54:36+00:00,1263151148963368962,"📢Free  assessment + testing is now available to both residents of Travis County + Williamson County! 

To take the assessment for a referral for a free drive-thru COVID-19 test, head over to  + click ""Take a Self-Assessment"". "
21,2020-05-19 21:38:09+00:00,1262860118523351051,"  If you are recovering at home and have self isolated, follow   guidance for how and when to stop self-isolation (Can be found towards the bottom of this page): "
22,2020-05-09 22:25:41+00:00,1259248200931840000,"Take a free  self-assessment to see if you’re eligible for a test. 👉 

Completion of the form does not guarantee referral to a testing site. When people arrive for testing, they will be required to show email confirmation or government-issued ID. "
23,2020-05-08 22:55:28+00:00,1258893309516435460,Feeling under the weather? Headache? Cough? 😣 Don't risk it and get tested! Stop the spread of disease to your loved ones ; our community by seeking care. Call your doctor to see if you need a test. Don't have a doctor? Take our quick self-assessment at  
24,2020-06-10 20:41:32+00:00,1270818402035097601," welch Hi Dennis, yes, this was a reporting error. These data are self reported from hospitals. We worked with the hospital that made the data entry error. This is now corrected."
25,2020-03-10 18:49:23+00:00,1237450494970298368,"As of today, March 10, 2020, travelers returning from China, Iran, South Korea and Italy should abide by the CDC's recommendations of self-isolation for at least 14 days.
       "
26,2020-05-14 16:38:52+00:00,1260972859574255616,"In highly stressful situations,  says self-care is critical: ""We cannot be of service if we have nothing in us to give.” Read her tips for combatting stress and other expert opinions via : "
